03-Aug-13 - Matchday 1		Tall. Cba	2-2 	Sarmiento		Echenique
29-Mar-14		Aldosivi	1-1 	Atl. Tuc		Merlos
29-Mar-14		Gsia.Jujuy	3-1 	Crucero		Tello
29-Mar-14		B. Unidos	3-0 	Indp Rvia		Córdoba
30-Mar-14		S.M. SJ	1-1 	AlteBrown		Argañaraz
31-Mar-14		Ferro	0-1 	Union		Lamolina, N
31-Mar-14		Patronato	0-2 	Banfield		Loustau, P
31-Mar-14		D.Haig	1-0 	Sp.Belgr		López, R
31-Mar-14		Def y Jus	2-0 	Sarmiento		Laverni
04-Apr-14 - Matchday 32		Huracan	2-0 	B. Unidos		Herrera
05-Apr-14		AlteBrown	1-1 	Ferro		Paletta
05-Apr-14		Atl. Tuc	3-0 	D.Haig		Giannini
05-Apr-14		Union	0-0 	Indepte		Laverni
05-Apr-14		Tall. Cba	0-0 	Def y Jus		Trucco
06-Apr-14		Sarmiento	1-3 	Instituto		Vigliano, M
06-Apr-14		S. Carlos	1-0 	Patronato		Córdoba
06-Apr-14		Indp Rvia	2-2 	Aldosivi		Castro, A
06-Apr-14		Banfield	2-1 	Brown		Pompei
06-Apr-14		Crucero	1-0 	S.M. SJ		Alvarez, L
06-Apr-14		Sp.Belgr	0-0 	Gsia.Jujuy		González, M
09-Apr-14 - Matchday 28		AlteBrown	0-1 	Crucero	 -Apr-14 - Matchday 33		Def y Jus	0-0 	Union		Pompei
12-Apr-14		Brown	2-1 	S. Carlos		Espinoza, F
12-Apr-14		S.M. SJ	1-0 	Sp.Belgr		Penel
12-Apr-14		Instituto	1-1 	Tall. Cba		Giannini
12-Apr-14		Aldosivi	1-1 	Huracan		Alvarez, L
12-Apr-14		Patronato	1-1 	Sarmiento		Guaymas
13-Apr-14		B. Unidos	2-1 	Banfield		Laverni
13-Apr-14		Atl. Tuc	1-1 	Indp Rvia		Lamolina, N
13-Apr-14		D.Haig	2-0 	Gsia.Jujuy		Suarez
14-Apr-14		Ferro	2-0 	Crucero		Argañaraz
14-Apr-14		Indepte	1-1 	AlteBrown		Ceballos, D
18-Apr-14 - Matchday 34		S. Carlos	0-2 	B. Unidos		1 live comments] 	López, R
18-Apr-14		Union	2-0 	Instituto		Herrera
18-Apr-14		Huracan	2-0 	Atl. Tuc		González, M
19-Apr-14		AlteBrown	0-0 	Def y Jus		Penel
19-Apr-14		Indp Rvia	1-1 	D.Haig		Pompei
19-Apr-14		Banfield	3-0 	Aldosivi		Lunati
19-Apr-14		Gsia.Jujuy	1-1 	S.M. SJ		Ceballos, D
20-Apr-14		Tall. Cba	3-1 	Patronato		Castro, A
20-Apr-14		Sarmiento	1-0 	Brown		Testa, S
20-Apr-14		Sp.Belgr	1-0 	Ferro		Dóvalo
21-Apr-14		Crucero	3-1 	Indepte		Rapallini
26-Apr-14 - Matchday 35		Def y Jus	3-1 	Crucero		Giannini
26-Apr-14		D.Haig	2-2 	S.M. SJ		Laverni
26-Apr-14		Aldosivi	3-0 	S. Carlos		Delfino
26-Apr-14		Brown	2-2 	Tall. Cba		Paletta
26-Apr-14		Patronato	0-1 	Union		Argañaraz
27-Apr-14		B. Unidos	1-0 	Sarmiento		Suarez
27-Apr-14		Indp Rvia	1-2 	Huracan		Baliño
27-Apr-14		Instituto	2-1 	AlteBrown		Tello
28-Apr-14		Atl. Tuc	0-0 	Banfield		Trucco
28-Apr-14		Ferro	0-2 	Gsia.Jujuy		Bocca
28-Apr-14		Indepte	3-2 	Sp.Belgr		Maglio
03-May-14 - Matchday 36		S. Carlos	0-2 	Atl. Tuc		Echenique
03-May-14		Sarmiento	0-1 	Aldosivi		Laverni
03-May-14		Crucero	1-0 	Instituto		Alvarez, L
03-May-14		Banfield	4-0 	Indp Rvia		Ceballos, D
03-May-14		Tall. Cba	2-1 	B. Unidos		Penel
04-May-14		Union	0-2 	Brown		Giannini
04-May-14		AlteBrown	0-0 	Patronato		González, M
04-May-14		Gsia.Jujuy	1-0 	Indepte		Lunati
04-May-14		S.M. SJ	2-0 	Ferro		Díaz, P
04-May-14		Sp.Belgr	4-2 	Def y Jus		Castro, A
09-May-14 - Matchday 37		Brown	0-2 	AlteBrown		Castro, A
09-May-14		Indp Rvia	2-0 	S. Carlos		Guaymas
09-May-14		Indepte	2-0 	S.M. SJ		Pompei
09-May-14		Def y Jus	3-1 	Gsia.Jujuy		Abal
